ID,Componente,Categoria_STRIDE,Descripcion,CWE,Damage,Reproducibility,Exploitability,Affected_Users,Discoverability,Score_Total,Nivel_Riesgo,Control_Mitigacion
TH01,API Gateway,Spoofing,Token JWT falsificado con secreto débil (HS256),CWE-287,9,9,5,9,7,39,ALTO,C02
TH02,Service Mesh,Spoofing,Microservicio malicioso sin cert válido suplanta servicio,CWE-295,8,5,5,8,5,31,ALTO,C04
TH03,Redis,Spoofing,Session hijacking vía session ID robado,CWE-384,8,7,6,7,7,35,ALTO,C03
TH04,API Calls,Spoofing,API key theft desde código o logs,CWE-798,6,6,6,5,6,29,MEDIO,C04
TH05,API Gateway,Tampering,Manipulación de request params en vuelo,CWE-20,6,8,7,6,7,34,ALTO,C05
TH06,PostgreSQL,Tampering,SQL Injection vía input no sanitizado,CWE-89,10,8,6,9,8,41,CRÍTICO,C05
TH07,RabbitMQ,Tampering,Modificación de mensajes en cola,CWE-345,7,6,5,7,5,30,ALTO,C06
TH08,Kubernetes,Tampering,ConfigMap/Secret modification en runtime,CWE-732,8,5,4,7,5,29,MEDIO,C04
TH09,Container Image,Tampering,Imagen Docker infectada en registry,CWE-494,10,8,6,10,5,39,ALTO,C07
TH10,API Gateway,Repudiation,Falta de trazabilidad de acciones,CWE-778,6,7,6,7,6,32,ALTO,C03
TH11,Microservices,Repudiation,Logs eliminados o modificados,CWE-117,7,6,5,8,5,31,ALTO,C03
TH12,Transactions,Repudiation,Usuario niega haber realizado compra,CWE-284,5,5,5,6,5,26,MEDIO,C03
TH13,API Gateway,Info Disclosure,API responses verbosas exponen stack traces,CWE-209,5,8,8,6,8,35,ALTO,C05
TH14,Logs,Info Disclosure,"PII en logs sin encriptar (emails, tokens)",CWE-532,10,9,6,8,7,40,CRÍTICO,C03
TH15,Redis,Info Disclosure,Memory dump de Redis expone sesiones,CWE-316,7,5,4,6,4,26,MEDIO,C06
TH16,Kubernetes,Info Disclosure,Secrets en env vars accesibles vía API,CWE-526,10,8,5,9,6,38,ALTO,C04
TH17,Error Messages,Info Disclosure,Stack traces en producción,CWE-209,4,8,8,5,8,33,ALTO,C05
TH18,API Gateway,DoS,Request flooding satura recursos (DDoS),CWE-770,9,10,9,10,8,46,CRÍTICO,C01
TH19,Microservices,DoS,Servicio consume toda CPU/memoria,CWE-400,8,7,7,8,6,36,ALTO,C01
TH20,PostgreSQL,DoS,Connection pool exhaustion,CWE-404,8,6,6,9,6,35,ALTO,C06
TH21,RabbitMQ,DoS,Queue flooding con mensajes maliciosos,CWE-770,7,7,6,7,6,33,ALTO,C06
TH22,Istio,DoS,Control plane saturado,CWE-400,8,4,4,8,4,28,MEDIO,C07
TH23,API Gateway,Elevation,JWT claim manipulation para admin role,CWE-269,9,7,6,8,7,37,ALTO,C02
TH24,Kubernetes,Elevation,Container escape a nodo host (runC CVE),CWE-250,10,5,4,9,5,33,ALTO,C07
TH25,Microservices,Elevation,IDOR — acceso a recursos de otro usuario,CWE-639,7,9,9,8,9,42,CRÍTICO,C05
TH26,Service Mesh,Elevation,Bypass de políticas de Istio,CWE-863,8,5,4,8,5,30,ALTO,C07
TH27,RBAC,Elevation,Role misconfiguration (over-privileged),CWE-266,7,6,5,6,6,30,ALTO,C04
